sex,age,ageCat6,ageCat3,maritalStatus,eduLevelW8,eduLevelISCED,employmentStatus,wave,countryCode,numericCountryCode,impFamily,impFriends,impLeisure,impPolitics,impWork,impReligion
1,25,2,1,1,5,-4,1,3,BRA,76,1,2,2,3,2,4
2,44,4,2,2,4,-4,1,3,BRA,76,1,3,3,4,2,1
1,19,1,1,1,6,-4,6,3,BRA,76,1,1,1,2,1,2
2,33,3,2,1,3,-4,1,3,BRA,76,1,2,1,4,1,3
1,50,4,2,2,5,-4,1,3,BRA,76,1,1,2,1,1,1
2,38,3,2,1,4,-4,1,3,BRA,76,1,2,2,2,1,1
1,72,6,3,5,2,-4,4,3,BRA,76,1,1,1,1,1,1
2,24,1,1,1,6,-4,1,3,BRA,76,1,1,1,1,1,1
1,44,4,2,2,4,-4,1,3,BRA,76,1,1,1,1,1,1
2,58,5,3,1,3,-4,3,3,BRA,76,1,1,1,1,1,1
1,31,2,1,1,5,-4,1,3,BRA,76,1,1,1,1,1,1
2,67,6,3,3,2,-4,4,3,BRA,76,1,2,2,4,4,2
1,42,3,2,1,4,-4,1,3,BRA,76,1,1,2,2,1,2
2,21,1,1,1,6,-4,6,3,BRA,76,1,2,1,3,1,3
1,53,4,2,2,5,-4,1,3,BRA,76,2,1,2,4,1,1
2,36,3,2,1,4,-4,1,3,BRA,76,1,3,4,4,5,1
1,29,2,1,1,5,-4,2,3,BRA,76,1,1,1,2,2,3
2,48,4,2,2,3,-4,1,3,BRA,76,1,2,2,3,1,2
1,60,5,3,1,4,-4,3,3,BRA,76,1,1,2,4,2,2
2,25,2,1,1,6,-4,1,3,BRA,76,1,2,1,3,1,4
1,39,3,2,2,5,-4,1,3,BRA,76,1,2,3,4,5,1
2,52,4,2,1,4,-4,1,3,BRA,76,1,1,2,3,1,2
1,66,6,3,3,2,-4,4,3,BRA,76,1,1,1,4,4,3
2,43,3,2,1,5,-4,1,3,BRA,76,1,2,2,2,1,1
1,30,2,1,1,4,-4,1,3,BRA,76,1,1,1,3,1,2
2,57,5,3,2,3,-4,3,3,BRA,76,1,2,2,4,2,3
1,23,1,1,1,6,-4,6,3,BRA,76,1,1,2,3,1,2
2,49,4,2,1,5,-4,1,3,BRA,76,1,2,2,4,2,1
1,35,3,2,2,4,-4,1,3,BRA,76,1,1,1,2,1,4
2,62,5,3,1,3,-4,3,3,BRA,76,1,2,1,3,1,2
1,20,1,1,1,6,-4,6,4,CAN,124,1,2,2,3,2,4
2,44,4,2,2,4,-4,1,4,CAN,124,1,3,3,4,2,1
1,19,1,1,1,6,-4,6,4,CAN,124,1,1,1,2,1,2
2,33,3,2,1,3,-4,1,4,CAN,124,1,2,1,4,1,3
1,50,4,2,2,5,-4,1,4,CAN,124,1,1,2,1,1,1
2,38,3,2,1,4,-4,1,4,CAN,124,1,2,2,2,1,1
1,72,6,3,5,2,-4,4,4,CAN,124,1,1,1,1,1,1
2,24,1,1,1,6,-4,1,4,CAN,124,1,1,1,1,1,1
1,44,4,2,2,4,-4,1,4,CAN,124,1,1,1,1,1,1
2,58,5,3,1,3,-4,3,4,CAN,124,1,1,1,1,1,1
1,31,2,1,1,5,-4,1,4,CAN,124,1,1,1,1,1,1
2,67,6,3,3,2,-4,4,4,CAN,124,1,2,2,4,4,2
1,42,3,2,1,4,-4,1,4,CAN,124,1,1,2,2,1,2
2,21,1,1,1,6,-4,6,4,CAN,124,1,2,1,3,1,3
1,53,4,2,2,5,-4,1,4,CAN,124,2,1,2,4,1,1
2,36,3,2,1,4,-4,1,4,CAN,124,1,3,4,4,5,1
1,29,2,1,1,5,-4,2,4,CAN,124,1,1,1,2,2,3
2,48,4,2,2,3,-4,1,4,CAN,124,1,2,2,3,1,2
1,60,5,3,1,4,-4,3,4,CAN,124,1,1,2,4,2,2
2,25,2,1,1,6,-4,1,4,CAN,124,1,2,1,3,1,4
1,39,3,2,2,5,-4,1,4,CAN,124,1,2,3,4,5,1
2,52,4,2,1,4,-4,1,4,CAN,124,1,1,2,3,1,2
1,66,6,3,3,2,-4,4,4,CAN,124,1,1,1,4,4,3
2,43,3,2,1,5,-4,1,4,CAN,124,1,2,2,2,1,1
1,30,2,1,1,4,-4,1,4,CAN,124,1,1,1,3,1,2
2,57,5,3,2,3,-4,3,4,CAN,124,1,2,2,4,2,3
1,23,1,1,1,6,-4,6,4,CAN,124,1,1,2,3,1,2
2,49,4,2,1,5,-4,1,4,CAN,124,1,2,2,4,2,1
1,35,3,2,2,4,-4,1,4,CAN,124,1,1,1,2,1,4
2,62,5,3,1,3,-4,3,4,CAN,124,1,2,1,3,1,2
1,20,1,1,1,6,-4,6,5,DEU,276,1,2,2,3,2,4
2,44,4,2,2,4,-4,1,5,DEU,276,1,3,3,4,2,1
1,19,1,1,1,6,-4,6,5,DEU,276,1,1,1,2,1,2
2,33,3,2,1,3,-4,1,5,DEU,276,1,2,1,4,1,3
1,50,4,2,2,5,-4,1,5,DEU,276,1,1,2,1,1,1
2,38,3,2,1,4,-4,1,5,DEU,276,1,2,2,2,1,1
1,72,6,3,5,2,-4,4,5,DEU,276,1,1,1,1,1,1
2,24,1,1,1,6,-4,1,5,DEU,276,1,1,1,1,1,1
1,44,4,2,2,4,-4,1,5,DEU,276,1,1,1,1,1,1
2,58,5,3,1,3,-4,3,5,DEU,276,1,1,1,1,1,1
1,31,2,1,1,5,-4,1,5,DEU,276,1,1,1,1,1,1
2,67,6,3,3,2,-4,4,5,DEU,276,1,2,2,4,4,2
1,42,3,2,1,4,-4,1,5,DEU,276,1,1,2,2,1,2
2,21,1,1,1,6,-4,6,5,DEU,276,1,2,1,3,1,3
1,53,4,2,2,5,-4,1,5,DEU,276,2,1,2,4,1,1
2,36,3,2,1,4,-4,1,5,DEU,276,1,3,4,4,5,1
1,29,2,1,1,5,-4,2,5,DEU,276,1,1,1,2,2,3
2,48,4,2,2,3,-4,1,5,DEU,276,1,2,2,3,1,2
1,60,5,3,1,4,-4,3,5,DEU,276,1,1,2,4,2,2
2,25,2,1,1,6,-4,1,5,DEU,276,1,2,1,3,1,4
1,39,3,2,2,5,-4,1,5,DEU,276,1,2,3,4,5,1
2,52,4,2,1,4,-4,1,5,DEU,276,1,1,2,3,1,2
1,66,6,3,3,2,-4,4,5,DEU,276,1,1,1,4,4,3
2,43,3,2,1,5,-4,1,5,DEU,276,1,2,2,2,1,1
1,30,2,1,1,4,-4,1,5,DEU,276,1,1,1,3,1,2
2,57,5,3,2,3,-4,3,5,DEU,276,1,2,2,4,2,3
1,23,1,1,1,6,-4,6,5,DEU,276,1,1,2,3,1,2
2,49,4,2,1,5,-4,1,5,DEU,276,1,2,2,4,2,1
1,35,3,2,2,4,-4,1,5,DEU,276,1,1,1,2,1,4
2,62,5,3,1,3,-4,3,5,DEU,276,1,2,1,3,1,2
1,20,1,1,1,6,-4,6,6,EGY,818,1,2,2,3,2,4
2,44,4,2,2,4,-4,1,6,EGY,818,1,3,3,4,2,1
1,19,1,1,1,6,-4,6,6,EGY,818,1,1,1,2,1,2
2,33,3,2,1,3,-4,1,6,EGY,818,1,2,1,4,1,3
1,50,4,2,2,5,-4,1,6,EGY,818,1,1,2,1,1,1
2,38,3,2,1,4,-4,1,6,EGY,818,1,2,2,2,1,1
1,72,6,3,5,2,-4,4,6,EGY,818,1,1,1,1,1,1
2,24,1,1,1,6,-4,1,6,EGY,818,1,1,1,1,1,1
1,44,4,2,2,4,-4,1,6,EGY,818,1,1,1,1,1,1
2,58,5,3,1,3,-4,3,6,EGY,818,1,1,1,1,1,1
1,31,2,1,1,5,-4,1,6,EGY,818,1,1,1,1,1,1
2,67,6,3,3,2,-4,4,6,EGY,818,1,2,2,4,4,2
1,42,3,2,1,4,-4,1,6,EGY,818,1,1,2,2,1,2
2,21,1,1,1,6,-4,6,6,EGY,818,1,2,1,3,1,3
1,53,4,2,2,5,-4,1,6,EGY,818,2,1,2,4,1,1
2,36,3,2,1,4,-4,1,6,EGY,818,1,3,4,4,5,1
1,29,2,1,1,5,-4,2,6,EGY,818,1,1,1,2,2,3
2,48,4,2,2,3,-4,1,6,EGY,818,1,2,2,3,1,2
1,60,5,3,1,4,-4,3,6,EGY,818,1,1,2,4,2,2
2,25,2,1,1,6,-4,1,6,EGY,818,1,2,1,3,1,4
1,39,3,2,2,5,-4,1,6,EGY,818,1,2,3,4,5,1
2,52,4,2,1,4,-4,1,6,EGY,818,1,1,2,3,1,2
1,66,6,3,3,2,-4,4,6,EGY,818,1,1,1,4,4,3
2,43,3,2,1,5,-4,1,6,EGY,818,1,2,2,2,1,1
1,30,2,1,1,4,-4,1,6,EGY,818,1,1,1,3,1,2
2,57,5,3,2,3,-4,3,6,EGY,818,1,2,2,4,2,3
1,23,1,1,1,6,-4,6,6,EGY,818,1,1,2,3,1,2
2,49,4,2,1,5,-4,1,6,EGY,818,1,2,2,4,2,1
1,35,3,2,2,4,-4,1,6,EGY,818,1,1,1,2,1,4
2,62,5,3,1,3,-4,3,6,EGY,818,1,2,1,3,1,2
1,30,2,1,1,4,-4,1,7,JPN,392,1,1,1,3,1,4
2,52,4,2,1,5,-4,1,7,JPN,392,1,2,2,4,1,5
1,68,6,3,5,2,-4,4,7,JPN,392,2,3,2,4,4,5
2,45,4,2,1,6,-4,1,7,JPN,392,1,1,1,2,1,4
1,19,1,1,1,4,-4,6,7,JPN,392,1,1,1,5,3,5
2,34,3,2,2,5,-4,1,7,JPN,392,1,2,2,3,1,4
1,56,5,3,1,3,-4,1,7,JPN,392,1,2,1,4,1,5
2,28,2,1,1,6,-4,2,7,JPN,392,1,1,2,3,2,4
1,47,4,2,1,4,-4,1,7,JPN,392,1,2,2,4,1,5
2,63,5,3,3,2,-4,3,7,JPN,392,1,1,2,4,2,4
1,25,2,1,1,5,-4,1,7,JPN,392,1,1,1,2,1,5
2,39,3,2,2,4,-4,1,7,JPN,392,1,2,2,4,1,4
1,51,4,2,1,3,-4,1,7,JPN,392,1,2,1,3,1,5
2,70,6,3,5,2,-4,4,7,JPN,392,2,2,3,4,5,5
1,21,1,1,1,6,-4,6,7,JPN,392,1,1,1,4,4,4
2,43,3,2,1,4,-4,1,7,JPN,392,1,2,2,3,1,5
1,59,5,3,2,3,-4,3,7,JPN,392,1,1,2,4,2,5
2,32,2,1,1,5,-4,1,7,JPN,392,1,2,1,3,1,4
1,65,6,3,3,2,-4,4,7,JPN,392,1,2,2,4,5,5
2,41,3,2,1,4,-4,1,7,JPN,392,1,1,2,3,1,5
1,20,1,1,1,6,-4,6,7,JPN,392,1,1,1,4,3,4
2,54,4,2,2,5,-4,1,7,JPN,392,1,2,2,2,1,5
1,36,3,2,1,4,-4,1,7,JPN,392,1,1,1,3,1,4
2,29,2,1,1,5,-4,2,7,JPN,392,1,2,2,4,2,5
1,48,4,2,2,3,-4,1,7,JPN,392,1,1,2,3,1,4
2,60,5,3,1,4,-4,3,7,JPN,392,1,2,2,4,2,5
1,26,2,1,1,6,-4,1,7,JPN,392,1,1,1,2,1,4
2,40,3,2,2,5,-4,1,7,JPN,392,1,2,1,3,1,5
1,53,4,2,1,4,-4,1,7,JPN,392,1,1,2,4,1,4
2,67,6,3,3,2,-4,4,7,JPN,392,1,3,3,4,5,5
